City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
201,Grindavik,IS,2022-07-22 03:18:58,63.8424,-22.4338,51.75,100,100,2.3,light rain
202,Asfi,MA,2022-07-22 03:18:58,32.2994,-9.2372,73.29,84,40,21.05,scattered clouds
203,Nuevo Progreso,MX,2022-07-22 03:18:59,23.1667,-97.95,82.54,92,26,5.28,scattered clouds
204,Antalaha,MG,2022-07-22 03:18:59,-14.9003,50.2788,66.99,89,74,7.76,light rain
205,Gat,IL,2022-07-22 03:18:02,31.61,34.7642,75.88,100,0,1.12,clear sky
206,Lavrentiya,RU,2022-07-22 03:19:00,65.5833,-171.0,40.19,80,100,17.49,overcast clouds
207,Mahanje,TZ,2022-07-22 03:19:00,-9.9333,35.3333,53.73,95,11,0.58,few clouds
208,Kaitangata,NZ,2022-07-22 03:19:00,-46.2817,169.8464,44.73,84,100,2.44,overcast clouds
209,Murray Bridge,AU,2022-07-22 03:18:12,-35.1167,139.2667,63.12,64,100,16.02,light rain
210,Tshikapa,CD,2022-07-22 03:19:01,-6.4167,20.8,71.22,57,7,0.94,clear sky
211,Vila Velha,BR,2022-07-22 03:19:02,-20.3297,-40.2925,67.95,93,75,3.44,broken clouds
212,Rosarito,MX,2022-07-22 03:19:02,32.3333,-117.0333,71.67,73,19,7.63,few clouds
213,Dukhovnitskoye,RU,2022-07-22 03:19:03,52.4828,48.2137,62.67,85,44,5.5,scattered clouds
214,Abha,SA,2022-07-22 03:19:03,18.2164,42.5053,64.22,88,0,0.0,clear sky
215,Ondjiva,AO,2022-07-22 03:19:03,-17.0667,15.7333,51.96,42,0,6.06,clear sky
216,Antofagasta,CL,2022-07-22 03:19:04,-23.65,-70.4,58.28,87,49,5.55,scattered clouds
217,Camopi,GF,2022-07-22 03:19:04,3.1655,-52.3158,71.4,98,85,2.19,overcast clouds
218,Tecoanapa,MX,2022-07-22 03:19:05,16.5167,-98.75,80.74,83,26,3.22,scattered clouds
219,Devrek,TR,2022-07-22 03:19:05,41.2192,31.9558,59.85,92,25,4.25,scattered clouds
220,Maceio,BR,2022-07-22 03:19:05,-9.6658,-35.7353,74.64,88,75,6.91,broken clouds
221,Pevek,RU,2022-07-22 03:19:06,69.7008,170.3133,31.57,99,100,10.83,light snow
222,Grand-Santi,GF,2022-07-22 03:19:06,4.25,-54.3833,72.18,99,100,2.15,overcast clouds
223,Provideniya,RU,2022-07-22 03:19:07,64.3833,-173.3,46.51,81,75,25.01,broken clouds
224,Victor Harbor,AU,2022-07-22 03:19:07,-35.5667,138.6167,62.01,71,100,1.01,overcast clouds
225,Belmonte,BR,2022-07-22 03:19:07,-15.8631,-38.8828,70.47,87,10,3.13,clear sky
226,Sal Rei,CV,2022-07-22 03:19:08,16.1833,-22.9167,75.11,78,100,7.96,overcast clouds
227,Bykov,RU,2022-07-22 03:19:08,47.3167,142.55,61.59,89,100,3.6,overcast clouds
228,Kavaratti,IN,2022-07-22 03:19:09,10.5669,72.642,81.05,79,100,21.52,overcast clouds
229,Leshukonskoye,RU,2022-07-22 03:19:09,64.8989,45.7622,57.29,64,83,4.47,broken clouds
230,Zhigansk,RU,2022-07-22 03:19:10,66.7697,123.3711,59.65,90,100,19.42,overcast clouds
231,Ancud,CL,2022-07-22 03:18:24,-41.8697,-73.8203,40.23,93,100,5.66,overcast clouds
232,Ronne,DK,2022-07-22 03:19:10,55.1009,14.7066,64.31,94,75,5.75,broken clouds
233,Mangan,IN,2022-07-22 03:19:10,27.5167,88.5333,78.1,89,100,0.54,overcast clouds
234,Laguna,US,2022-07-22 03:15:23,38.421,-121.4238,94.32,31,0,9.22,clear sky
235,Nanning,CN,2022-07-22 03:19:11,22.8167,108.3167,88.25,70,37,8.05,scattered clouds
236,Mehamn,NO,2022-07-22 03:19:11,71.0357,27.8492,53.55,94,75,20.71,light intensity drizzle
237,Moussoro,TD,2022-07-22 03:19:12,13.6408,16.4901,83.91,62,100,7.94,overcast clouds
238,Natal,BR,2022-07-22 03:19:12,-5.795,-35.2094,75.42,94,75,3.44,broken clouds
239,Hofn,IS,2022-07-22 03:19:13,64.2539,-15.2082,52.12,78,16,3.42,few clouds
240,Lodja,CD,2022-07-22 03:19:13,-3.4833,23.4333,70.11,79,60,0.58,broken clouds
241,Maragogipe,BR,2022-07-22 03:19:14,-12.7778,-38.9194,68.95,95,74,3.62,light rain
242,Butaritari,KI,2022-07-22 03:19:14,3.0707,172.7902,81.54,76,53,7.49,broken clouds
243,Nampula,MZ,2022-07-22 03:19:15,-15.1165,39.2666,60.75,100,0,3.44,clear sky
