City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
594,Xam Nua,LA,78.42,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
595,Port Hueneme,US,83.25,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
596,Humaita,BR,79.3,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
597,Sola,VU,79.81,moderate rain,-13.8833,167.55,Leumerus Bungalows
600,Danjiangkou,CN,86.61,overcast clouds,32.5428,111.5086,Dongsheng Guesthouse
609,Finschhafen,PG,83.55,broken clouds,-6.6024,147.8681,Cossam Guest House
611,Ixtapa,MX,85.23,scattered clouds,20.7,-105.2,hotel la terminal
614,Eyl,SO,76.55,broken clouds,7.9803,49.8164,Amiin Hotel
616,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
617,San Antonio,US,89.28,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
622,Polonnaruwa,LK,82.33,overcast clouds,7.9333,81.0,Thisara Guest House
625,Sosua,DO,76.91,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
631,Bajil,YE,86.18,clear sky,15.0584,43.2851,فندق حضرموت
633,Birjand,IR,77.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
634,Mapastepec,MX,77.76,overcast clouds,15.4333,-92.9,Hotel San Carlos
635,Nanakuli,US,87.75,clear sky,21.3906,-158.1547,Camp Pālehua
637,Lloret De Mar,ES,78.91,clear sky,41.6999,2.8457,Apartaments Guitart
639,Namatanai,PG,84.61,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
640,Aswan,EG,83.25,clear sky,24.0934,32.907,Nuba Nile
643,Redmond,US,80.53,clear sky,47.674,-122.1215,Seattle Marriott Redmond
644,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,Harper,LR,75.33,overcast clouds,4.375,-7.7169,Screensaver
649,Progreso,MX,82.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
650,Kunri,PK,86.36,overcast clouds,25.1785,69.5691,Dewan pan shop
653,Sheffield Lake,US,79.9,broken clouds,41.4875,-82.1015,Fairfield Inn & Suites by Marriott Cleveland Avon
656,Zharkent,KZ,87.35,clear sky,44.1628,80.0,гостиница Satti
657,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
658,Bima,ID,80.67,overcast clouds,-8.4667,118.7167,Lambitu Hotel
660,Mareeba,AU,78.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
665,Intipuca,SV,75.15,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
667,Jacareacanga,BR,77.59,broken clouds,-6.2222,-57.7528,Casa do Ian😎
672,Parrita,CR,75.6,overcast clouds,9.5201,-84.3225,Beso del Viento
675,Qiongshan,CN,89.58,broken clouds,20.0058,110.3542,Sun City Restaurant
676,Limpapa,PH,85.33,overcast clouds,7.1197,121.9106,The Ranch ZC
681,Buala,SB,85.21,light rain,-8.145,159.5921,Maringe Lagoon Lodge
682,Pundaguitan,PH,82.6,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
685,Port Charlotte,US,81.99,scattered clouds,26.9762,-82.0906,Knights Inn Port Charlotte
688,Mirnyy,RU,75.24,scattered clouds,62.5353,113.9611,квартира
691,Kilindoni,TZ,75.63,few clouds,-7.9139,39.6668,Bustani B&B
692,Lorengau,PG,84.99,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
693,Pemangkat,ID,80.38,overcast clouds,1.1667,108.9667,Ramah Kost KITA
694,Kalianget,ID,82.44,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
702,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
703,Eirunepe,BR,77.02,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
704,Nara,JP,88.92,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
706,Riyadh,SA,89.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
709,Basco,PH,85.87,broken clouds,20.4487,121.9702,Nathaniel's Lodge
712,Tinskoy,RU,75.0,broken clouds,56.1525,96.9161,"Kemping ""Turist"""
713,Kupang,ID,85.1,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
